dictionary,hiragana,meaning,type,transitivity,te,past,negative,negativePast,polite,potential,passive,causative,causativePassive,conditional,imperative,volitional,prohibitive,lesson
参加する,さんかする,参加,不规则动词,自动词,参加して,参加した,参加しない,参加しなかった,参加します,参加できる,参加される,参加させる,参加させられる,参加すれば,参加しろ,参加しよう,参加するな,135
乾杯する,かんぱいする,乾杯,不规则动词,自动词,乾杯して,乾杯した,乾杯しない,乾杯しなかった,乾杯します,乾杯できる,乾杯される,乾杯させる,乾杯させられる,乾杯すれば,乾杯しろ,乾杯しよう,乾杯するな,135
持ち歩く,もちあるく,携带，拿着走,五段动词,他动词,持ち歩いて,持ち歩いた,持ち歩かない,持ち歩かなかった,持ち歩きます,持ち歩ける,持ち歩かれる,持ち歩かせる,持ち歩かせられる,持ち歩けば,持ち歩け,持ち歩こう,持ち歩くな,136
繰り返す,くりかえす,重复,五段动词,他动词,繰り返して,繰り返した,繰り返さない,繰り返さなかった,繰り返します,繰り返せる,繰り返される,繰り返させる,繰り返させられる,繰り返せば,繰り返せ,繰り返そう,繰り返すな,136
騒ぐ,さわぐ,吵闹，骚动,五段动词,自动词,騒いで,騒いだ,騒がない,騒がなかった,騒ぎます,騒げる,騒がれる,騒がせる,騒がせられる,騒げば,騒げ,騒ごう,騒ぐな,136
間に合う,まにあう,来得及，赶得上,五段动词,自动词,間に合って,間に合った,間に合わない,間に合わなかった,間に合います,間に合える,間に合われる,間に合わせる,間に合わせられる,間に合えば,間に合え,間に合おう,間に合うな,136
鳴く,なく,鸣叫，哭,五段动词,自动词,鳴いて,鳴いた,鳴かない,鳴かなかった,鳴きます,鳴ける,鳴かれる,鳴かせる,鳴かせられる,鳴けば,鳴け,鳴こう,鳴くな,136
眠る,ねむる,睡觉,五段动词,自动词,眠って,眠った,眠らない,眠らなかった,眠ります,眠れる,眠られる,眠らせる,眠らせられる,眠れば,眠れ,眠ろう,眠るな,136
鳴る,なる,鸣响，发出声音,五段动词,自动词,鳴って,鳴った,鳴らない,鳴らなかった,鳴ります,鳴れる,鳴られる,鳴らせる,鳴らせられる,鳴れば,鳴れ,鳴ろう,鳴るな,136
喜ぶ,よろこぶ,高兴欢喜,五段动词,自他动词,喜んで,喜んだ,喜ばない,喜ばなかった,喜びます,喜べる,喜ばれる,喜ばせる,喜ばせられる,喜べば,喜べ,喜ぼう,喜ぶな,136
役立つ,やくだつ,有用有益,五段动词,自动词,役立って,役立った,役立たない,役立たなかった,役立ちます,役立てる,役立たれる,役立たせる,役立たせられる,役立てば,役立て,役立とう,役立つな,136
雇う,やとう,雇佣,五段动词,他动词,雇って,雇った,雇わない,雇わなかった,雇います,雇える,雇われる,雇わせる,雇わせられる,雇えば,雇え,雇おう,雇うな,136
泣く,なく,哭,五段动词,自动词,泣いて,泣いた,泣かない,泣かなかった,泣きます,泣ける,泣かれる,泣かせる,泣かせられる,泣けば,泣け,泣こう,泣くな,136
振る,ふる,挥动摇动,五段动词,他动词,振って,振った,振らない,振らなかった,振ります,振れる,振られる,振らせる,振らせられる,振れば,振れ,振ろう,振るな,136
見える,みえる,能看见看得见,一段动词,自动词,見えて,見えた,見えない,見えなかった,見えます,-,-,-,-,見えれば,-,見えよう,見えるな,136
聞こえる,きこえる,能听见听得见,一段动词,自动词,聞こえて,聞こえた,聞こえない,聞こえなかった,聞こえます,-,-,-,-,聞こえれば,-,聞こえよう,聞こえるな,136
通じる,つうじる,通通过理解,一段动词,自他动词,通じて,通じた,通じない,通じなかった,通じます,通じられる,通じられる,通じさせる,通じさせられる,通じれば,通じろ,通じよう,通じるな,136
揚げる,あげる,炸举起,一段动词,他动词,揚げて,揚げた,揚げない,揚げなかった,揚げます,揚げられる,揚げられる,揚げさせる,揚げさせられる,揚げれば,揚げろ,揚げよう,揚げるな,136
慣れる,なれる,习惯适应,一段动词,自动词,慣れて,慣れた,慣れない,慣れなかった,慣れます,慣れられる,-,慣れさせる,慣れさせられる,慣れれば,慣れろ,慣れよう,慣れるな,136
濡れる,ぬれる,弄湿，淋湿,一段动词,自动词,濡れて,濡れた,濡れない,濡れなかった,濡れます,濡れられる,濡れられる,濡れさせる,濡れさせられる,濡れれば,濡れろ,濡れよう,濡れるな,136
焼ける,やける,烧焦，烤好,一段动词,自动词,焼けて,焼けた,焼けない,焼けなかった,焼けます,焼けられる,焼けられる,焼けさせる,焼けさせられる,焼ければ,焼けろ,焼けよう,焼けるな,136
下げる,さげる,降低，放下,一段动词,他动词,下げて,下げた,下げない,下げなかった,下げます,下げられる,下げられる,下げさせる,下げさせられる,下げれば,下げろ,下げよう,下げるな,136
失敗する,しっぱいする,失败,不规则动词,自动词,失敗して,失敗した,失敗しない,失敗しなかった,失敗します,失敗できる,失敗される,失敗させる,失敗させられる,失敗すれば,失敗しろ/失敗せよ,失敗しよう,失敗するな,136
苦労する,くろうする,辛苦，劳苦,不规则动词,自动词,苦労して,苦労した,苦労しない,苦労しなかった,苦労します,苦労できる,苦労される,苦労させる,苦労させられる,苦労すれば,苦労しろ/苦労せよ,苦労しよう,苦労するな,136
吃驚する,びっくりする,吃惊,不规则动词,自动词,吃驚して,吃驚した,吃驚しない,吃驚しなかった,吃驚します,吃驚できる,吃驚される,吃驚させる,吃驚させられる,吃驚すれば,吃驚しろ/吃驚せよ,吃驚しよう,吃驚するな,136
出席する,しゅっせきする,出席,不规则动词,自动词,出席して,出席した,出席しない,出席しなかった,出席します,出席できる,出席される,出席させる,出席させられる,出席すれば,出席しろ/出席せよ,出席しよう,出席するな,136
超える,こえる,超过，超越,一段动词,自他动词,超えて,超えた,超えない,超えなかった,超えます,超えられる,超えられる,超えさせる,超えさせられる,超えれば,超えろ,超えよう,超えるな,137
出場する,しゅつじょうする,出场，参加,不规则动词,自动词,出場して,出場した,出場しない,出場しなかった,出場します,出場できる,出場される,出場させる,出場させられる,出場すれば,出場しろ/出場せよ,出場しよう,出場するな,137
釈放する,しゃくほうする,释放,不规则动词,他动词,釈放して,釈放した,釈放しない,釈放しなかった,釈放します,釈放できる,釈放される,釈放させる,釈放させられる,釈放すれば,釈放しろ/釈放せよ,釈放しよう,釈放するな,137
摘み食いする,つまみぐいする,偷吃,不规则动词,他动词,摘み食いして,摘み食いした,摘み食いしない,摘み食いしなかった,摘み食いします,摘み食いできる,摘み食いされる,摘み食いさせる,摘み食いさせられる,摘み食いすれば,摘み食いしろ,摘み食いしよう,摘み食いするな,137
換算する,かんさんする,换算,不规则动词,他动词,換算して,換算した,換算しない,換算しなかった,換算します,換算できる,換算される,換算させる,換算させられる,換算すれば,換算しろ,換算しよう,換算するな,137
復習する,ふくしゅうする,复习,不规则动词,他动词,復習して,復習した,復習しない,復習しなかった,復習します,復習できる,復習される,復習させる,復習させられる,復習すれば,復習しろ,復習しよう,復習するな,137
成功する,せいこうする,成功,不规则动词,自动词,成功して,成功した,成功しない,成功しなかった,成功します,成功できる,-,成功させる,成功させられる,成功すれば,成功しろ,成功しよう,成功するな,137
入り組む,いりくむ,错综复杂,五段动词,自动词,入り組んで,入り組んだ,入り組まない,入り組まなかった,入り組みます,入り組める,-,入り組ませる,入り組ませられる,入り組めば,入り組め,入り組もう,入り組むな,138
減る,へる,减少,五段动词,自动词,減って,減った,減らない,減らなかった,減ります,減れる,-,減らせる,減らせられる,減れば,減れ,減ろう,減るな,138
動かす,うごかす,移动,五段动词,他动词,動かして,動かした,動かさない,動かさなかった,動かします,動かせる,動かされる,動かさせる,動かさせられる,動かせば,動かせ,動かそう,動かすな,138
勝つ,かつ,胜利,五段动词,自动词,勝って,勝った,勝たない,勝たなかった,勝ちます,勝てる,-,勝たせる,勝たせられる,勝てば,勝て,勝とう,勝つな,138
通り抜ける,とおりぬける,穿过,一段动词,自动词,通り抜けて,通り抜けた,通り抜けない,通り抜けなかった,通り抜けます,通り抜けられる,-,通り抜けさせる,通り抜けさせられる,通り抜ければ,通り抜けろ,通り抜けよう,通り抜けるな,138
感じる,かんじる,感觉,一段动词,他动词,感じて,感じた,感じない,感じなかった,感じます,感じられる,感じられる,感じさせる,感じさせられる,感じれば,感じろ,感じよう,感じるな,138
取り替える,とりかえる,替换,一段动词,他动词,取り替えて,取り替えた,取り替えない,取り替えなかった,取り替えます,取り替えられる,取り替えられる,取り替えさせる,取り替えさせられる,取り替えれば,取り替えろ,取り替えよう,取り替えるな,138
徹夜する,てつやする,通宵,不规则动词,自动词,徹夜して,徹夜した,徹夜しない,徹夜しなかった,徹夜します,徹夜できる,徹夜される,徹夜させる,徹夜させられる,徹夜すれば,徹夜しろ,徹夜しよう,徹夜するな,138
火傷する,やけどする,烫伤,不规则动词,自动词,火傷して,火傷した,火傷しない,火傷しなかった,火傷します,火傷できる,火傷される,火傷させる,火傷させられる,火傷すれば,火傷しろ,火傷しよう,火傷するな,138
見渡す,みわたす,眺望,五段动词,他动词,見渡して,見渡した,見渡さない,見渡さなかった,見渡します,見渡せる,見渡される,見渡させる,見渡させられる,見渡せば,見渡せ,見渡そう,見渡すな,139
続く,つづく,继续,五段动词,自动词,続いて,続いた,続かない,続かなかった,続きます,続ける,続かれる,続かせる,続かせられる,続けば,続け,続こう,続くな,139
無くなる,なくなる,消失；死亡,五段动词,自动词,無くなって,無くなった,無くならない,無くならなかった,無くなります,無くなれる,無くなられる,無くならせる,無くならせられる,無くなれば,無くなれ,無くなろう,無くなるな,139
育つ,そだつ,成长,五段动词,自动词,育って,育った,育たない,育たなかった,育ちます,育てる,育たれる,育たせる,育たせられる,育てば,育て,育とう,育つな,139
増える,ふえる,增加,一段动词,自动词,増えて,増えた,増えない,増えなかった,増えます,増えられる,増えられる,増えさせる,増えさせられる,増えれば,増えろ,増えよう,増えるな,139
連れる,つれる,带，领,一段动词,他动词,連れて,連れた,連れない,連れなかった,連れます,連れられる,連れられる,連れさせる,連れさせられる,連れれば,連れろ,連れよう,連れるな,139
欠席する,けっせきする,缺席,不规则动词,自动词,欠席して,欠席した,欠席しない,欠席しなかった,欠席します,欠席できる,欠席される,欠席させる,欠席させられる,欠席すれば,欠席しろ,欠席しよう,欠席するな,139
輸入する,ゆにゅうする,进口,不规则动词,他动词,輸入して,輸入した,輸入しない,輸入しなかった,輸入します,輸入できる,輸入される,輸入させる,輸入させられる,輸入すれば,輸入しろ,輸入しよう,輸入するな,139
向かう,むかう,朝向,五段动词,自动词,向かって,向かった,向かわない,向かわなかった,向かいます,向かえる,向かわれる,向かわせる,向かわせられる,向かえば,向かえ,向かおう,向かうな,140
揃える,そろえる,使一致,一段动词,他动词,揃えて,揃えた,揃えない,揃えなかった,揃えます,揃えられる,揃えられる,揃えさせる,揃えさせられる,揃えれば,揃えろ,揃えよう,揃えるな,140
漏れる,もれる,漏出,一段动词,自动词,漏れて,漏れた,漏れない,漏れなかった,漏れます,漏れられる,漏れられる,漏れさせる,漏れさせられる,漏れれば,漏れろ,漏れよう,漏れるな,140
纏める,まとめる,总结,一段动词,他动词,纏めて,纏めた,纏めない,纏めなかった,纏めます,纏められる,纏められる,纏めさせる,纏めさせられる,纏めれば,纏めろ,纏めよう,纏めるな,140
開通する,かいつうする,开通,不规则动词,自动词,開通して,開通した,開通しない,開通しなかった,開通します,開通できる,開通される,開通させる,開通させられる,開通すれば,開通しろ,開通しよう,開通するな,140
改築する,かいちくする,改建,不规则动词,他动词,改築して,改築した,改築しない,改築しなかった,改築します,改築できる,改築される,改築させる,改築させられる,改築すれば,改築しろ,改築しよう,改築するな,140
完成する,かんせいする,完成,不规则动词,自动词,完成して,完成した,完成しない,完成しなかった,完成します,完成できる,完成される,完成させる,完成させられる,完成すれば,完成しろ,完成しよう,完成するな,140
入社する,にゅうしゃする,入职,不规则动词,自动词,入社して,入社した,入社しない,入社しなかった,入社します,入社できる,入社される,入社させる,入社させられる,入社すれば,入社しろ,入社しよう,入社するな,140
叱る,しかる,责备,五段动词,他动词,叱って,叱った,叱らない,叱らなかった,叱ります,叱れる,叱られる,叱らせる,叱らせられる,叱れば,叱れ,叱ろう,叱るな,141
噛む,かむ,咬,五段动词,他动词,噛んで,噛んだ,噛まない,噛まなかった,噛みます,噛める,噛まれる,噛ませる,噛ませられる,噛めば,噛め,噛もう,噛むな,141
誘う,さそう,邀请,五段动词,他动词,誘って,誘った,誘わない,誘わなかった,誘います,誘える,誘われる,誘わせる,誘わせられる,誘えば,誘え,誘おう,誘うな,141
巻き込む,まきこむ,卷进，卷入,五段动词,他动词,巻き込んで,巻き込んだ,巻き込まない,巻き込まなかった,巻き込みます,巻き込める,巻き込まれる,巻き込ませる,巻き込ませられる,巻き込めば,巻き込め,巻き込もう,巻き込むな,141
至る,いたる,至，到达,五段动词,自动词,至って,至った,至らない,至らなかった,至ります,至れる,至られる,至らせる,至らせられる,至れば,至れ,至ろう,至るな,141
見つかる,みつかる,被找到，被发现,五段动词,自动词,見つかって,見つかった,見つからない,見つからなかった,見つかります,見つかれる,見つかる,見つからせる,見つからせられる,見つかれば,見つかれ,見つかろう,見つかるな,141
踏む,ふむ,踩，踏,五段动词,他动词,踏んで,踏んだ,踏まない,踏まなかった,踏みます,踏める,踏まれる,踏ませる,踏ませられる,踏めば,踏め,踏もう,踏むな,141
図る,はかる,计划，谋求,五段动词,他动词,図って,図った,図らない,図らなかった,図ります,図れる,図られる,図らせる,図らせられる,図れば,図れ,図ろう,図るな,141
見込む,みこむ,预料，估计,五段动词,他动词,見込んで,見込んだ,見込まない,見込まなかった,見込みます,見込める,見込まれる,見込ませる,見込ませられる,見込めば,見込め,見込もう,見込むな,141
盗む,ぬすむ,偷窃,五段动词,他动词,盗んで,盗んだ,盗まない,盗まなかった,盗みます,盗める,盗まれる,盗ませる,盗ませられる,盗めば,盗め,盗もう,盗むな,141
起こす,おこす,引起，唤醒,五段动词,他动词,起こして,起こした,起こさない,起こさなかった,起こします,起こせる,起こされる,起こさせる,起こさせられる,起こせば,起こせ,起こそう,起こすな,141
褒める,ほめる,表扬,一段动词,他动词,褒めて,褒めた,褒めない,褒めなかった,褒めます,褒められる,褒められる,褒めさせる,褒めさせられる,褒めれば,褒めろ,褒めよう,褒めるな,141
求める,もとめる,要求；寻求,一段动词,他动词,求めて,求めた,求めない,求めなかった,求めます,求められる,求められる,求めさせる,求めさせられる,求めれば,求めろ,求めよう,求めるな,141
苛める,いじめる,欺负,一段动词,他动词,苛めて,苛めた,苛めない,苛めなかった,苛めます,苛められる,苛められる,苛めさせる,苛めさせられる,苛めれば,苛めろ,苛めよう,苛めるな,141
ぶつける,ぶつける,投掷；碰撞,一段动词,他动词,ぶつけて,ぶつけた,ぶつけない,ぶつけなかった,ぶつけます,ぶつけられる,ぶつけられる,ぶつけさせる,ぶつけさせられる,ぶつければ,ぶつけろ,ぶつけよう,ぶつけるな,141
発見する,はっけんする,发现,不规则动词,他动词,発見して,発見した,発見しない,発見しなかった,発見します,発見できる,発見される,発見させる,発見させられる,発見すれば,発見しろ,発見しよう,発見するな,141
辞職する,じしょくする,辞职,不规则动词,自动词,辞職して,辞職した,辞職しない,辞職しなかった,辞職します,辞職できる,辞職される,辞職させる,辞職させられる,辞職すれば,辞職しろ,辞職しよう,辞職するな,141
創立する,そうりつする,创立,不规则动词,他动词,創立して,創立した,創立しない,創立しなかった,創立します,創立できる,創立される,創立させる,創立させられる,創立すれば,創立しろ,創立しよう,創立するな,141
依頼する,いらいする,委托；请求,不规则动词,他动词,依頼して,依頼した,依頼しない,依頼しなかった,依頼します,依頼できる,依頼される,依頼させる,依頼させられる,依頼すれば,依頼しろ,依頼しよう,依頼するな,141
発売する,はつばいする,发售,不规则动词,他动词,発売して,発売した,発売しない,発売しなかった,発売します,発売できる,発売される,発売させる,発売させられる,発売すれば,発売しろ,発売しよう,発売するな,141
開発する,かいはつする,开发,不规则动词,他动词,開発して,開発した,開発しない,開発しなかった,開発します,開発できる,開発される,開発させる,開発させられる,開発すれば,開発しろ,開発しよう,開発するな,141
製造する,せいぞうする,制造,不规则动词,他动词,製造して,製造した,製造しない,製造しなかった,製造します,製造できる,製造される,製造させる,製造させられる,製造すれば,製造しろ,製造しよう,製造するな,141
管理する,かんりする,管理,不规则动词,他动词,管理して,管理した,管理しない,管理しなかった,管理します,管理できる,管理される,管理させる,管理させられる,管理すれば,管理しろ,管理しよう,管理するな,141
実現する,じつげんする,实现,不规则动词,他动词,実現して,実現した,実現しない,実現しなかった,実現します,実現できる,実現される,実現させる,実現させられる,実現すれば,実現しろ,実現しよう,実現するな,141
洗練する,せいれんする,洗练,不规则动词,他动词,洗練して,洗練した,洗練しない,洗練しなかった,洗練します,洗練できる,洗練される,洗練させる,洗練させられる,洗練すれば,洗練しろ,洗練しよう,洗練するな,141
放送する,ほうそうする,播放,不规则动词,他动词,放送して,放送した,放送しない,放送しなかった,放送します,放送できる,放送される,放送させる,放送させられる,放送すれば,放送しろ,放送しよう,放送するな,141
生産する,せいさんする,生产,不规则动词,他动词,生産して,生産した,生産しない,生産しなかった,生産します,生産できる,生産される,生産させる,生産させられる,生産すれば,生産しろ,生産しよう,生産するな,141
翻訳する,ほんやくする,翻译,不规则动词,他动词,翻訳して,翻訳した,翻訳しない,翻訳しなかった,翻訳します,翻訳できる,翻訳される,翻訳させる,翻訳させられる,翻訳すれば,翻訳しろ,翻訳しよう,翻訳するな,141
発明する,はつめいする,发明,不规则动词,他动词,発明して,発明した,発明しない,発明しなかった,発明します,発明できる,発明される,発明させる,発明させられる,発明すれば,発明しろ,発明しよう,発明するな,141
預かる,あずかる,保管,五段动词,他动词,預かって,預かった,預からない,預からなかった,預かります,預かれる,預かられる,預からせる,預からせられる,預かれば,預かれ,預かろう,預かるな,142
気付く,きづく,注意到,五段动词,自动词,気付いて,気付いた,気付かない,気付かなかった,気付きます,気付ける,気付かれる,気付かせる,気付かせられる,気付けば,気付け,気付こう,気付くな,142
冷やす,ひやす,冷却，使变凉,五段动词,他动词,冷やして,冷やした,冷やさない,冷やさなかった,冷やします,冷やせる,冷やされる,冷やさせる,冷やさせられる,冷やせば,冷やせ,冷やそう,冷やすな,142
思い出す,おもいだす,想起，回忆起,五段动词,他动词,思い出して,思い出した,思い出さない,思い出さなかった,思い出します,思い出せる,思い出される,思い出させる,思い出させられる,思い出せば,思い出せ,思い出そう,思い出すな,142
告げる,つげる,告诉，告知,一段动词,他动词,告げて,告げた,告げない,告げなかった,告げます,告げられる,告げられる,告げさせる,告げさせられる,告げれば,告げろ,告げよう,告げるな,142
冷える,ひえる,变冷，冷却,一段动词,自动词,冷えて,冷えた,冷えない,冷えなかった,冷えます,冷えられる,冷えられる,冷えさせる,冷えさせられる,冷えれば,冷えろ,冷えよう,冷えるな,142
信じる,しんじる,相信,一段动词,他动词,信じて,信じた,信じない,信じなかった,信じます,信じられる,信じられる,信じさせる,信じさせられる,信じれば,信じろ,信じよう,信じるな,142
折れる,おれる,折断，弯曲,一段动词,自动词,折れて,折れた,折れない,折れなかった,折れます,折れられる,折れられる,折れさせる,折れさせられる,折れれば,折れろ,折れよう,折れるな,142
出勤する,しゅっきんする,上班，出勤,不规则动词,自动词,出勤して,出勤した,出勤しない,出勤しなかった,出勤します,出勤できる,出勤される,出勤させる,出勤させられる,出勤すれば,出勤しろ,出勤しよう,出勤するな,142
セットする,せっとする,设置，设定,不规则动词,他动词,セットして,セットした,セットしない,セットしなかった,セットします,セットできる,セットされる,セットさせる,セットさせられる,セットすれば,セットしろ,セットしよう,セットするな,142
検討する,けんとうする,讨论，探讨,不规则动词,他动词,検討して,検討した,検討しない,検討しなかった,検討します,検討できる,検討される,検討させる,検討させられる,検討すれば,検討しろ,検討しよう,検討するな,142
引っ張る,ひっぱる,拉，拽,五段动词,他动词,引っ張って,引っ張った,引っ張らない,引っ張らなかった,引っ張ります,引っ張れる,引っ張られる,引っ張らせる,引っ張らせられる,引っ張れば,引っ張れ,引っ張ろう,引っ張るな,143
浮かぶ,うかぶ,浮起浮现,五段动词,自动词,浮かんで,浮かんだ,浮かばない,浮かばなかった,浮かびます,浮かべる,浮かばれる,浮かばせる,浮かばせられる,浮かべば,浮かべ,浮かぼう,浮かぶな,143
整う,ととのう,整齐完备,五段动词,自动词,整って,整った,整わない,整わなかった,整います,整える,整われる,整わせる,整わせられる,整えば,整え,整おう,整うな,143
乾く,かわく,干干燥,五段动词,自动词,乾いて,乾いた,乾かない,乾かなかった,乾きます,乾ける,乾かれる,乾かせる,乾かせられる,乾けば,乾け,乾こう,乾くな,143
暮らす,くらす,生活度过,五段动词,自动词,暮らして,暮らした,暮らさない,暮らさなかった,暮らします,暮らせる,暮らされる,暮らさせる,暮らさせられる,暮らせば,暮らせ,暮らそう,暮らすな,143
避ける,さける,避开避免,一段动词,他动词,避けて,避けた,避けない,避けなかった,避けます,避けられる,避けられる,避けさせる,避けさせられる,避ければ,避けろ,避けよう,避けるな,143
売れる,うれる,畅销,一段动词,自动词,売れて,売れた,売れない,売れなかった,売れます,売れられる,売れられる,売れさせる,売れさせられる,売れれば,売れろ,売れよう,売れるな,143
受ける,うける,接受受到,一段动词,他动词,受けて,受けた,受けない,受けなかった,受けます,受けられる,受けられる,受けさせる,受けさせられる,受ければ,受けろ,受けよう,受けるな,143
温める,あたためる,加热温一下,一段动词,他动词,温めて,温めた,温めない,温めなかった,温めます,温められる,温められる,温めさせる,温めさせられる,温めれば,温めろ,温めよう,温めるな,143
理解する,りかいする,理解,不规则动词,他动词,理解して,理解した,理解しない,理解しなかった,理解します,理解できる,理解される,理解させる,理解させられる,理解すれば,理解しろ,理解しよう,理解するな,143
提案する,ていあんする,提议建议,不规则动词,他动词,提案して,提案した,提案しない,提案しなかった,提案します,提案できる,提案される,提案させる,提案させられる,提案すれば,提案しろ,提案しよう,提案するな,143
試作する,しさくする,试制,不规则动词,他动词,試作して,試作した,試作しない,試作しなかった,試作します,試作できる,試作される,試作させる,試作させられる,試作すれば,試作しろ,試作しよう,試作するな,143
経験する,けいけんする,经验,不规则动词,他动词,経験して,経験した,経験しない,経験しなかった,経験します,経験できる,経験される,経験させる,経験させられる,経験すれば,経験しろ,経験しよう,経験するな,143
暗記する,あんきする,背诵,不规则动词,他动词,暗記して,暗記した,暗記しない,暗記しなかった,暗記します,暗記できる,暗記される,暗記させる,暗記させられる,暗記すれば,暗記しろ,暗記しよう,暗記するな,143
早退する,そうたいする,早退,不规则动词,自动词,早退して,早退した,早退しない,早退しなかった,早退します,早退できる,早退される,早退させる,早退させられる,早退すれば,早退しろ,早退しよう,早退するな,143
休職する,きゅうしょくする,停职,不规则动词,自动词,休職して,休職した,休職しない,休職しなかった,休職します,休職できる,休職される,休職させる,休職させられる,休職すれば,休職しろ,休職しよう,休職するな,143
広がる,ひろがる,扩大,五段动词,自动词,広がって,広がった,広がらない,広がらなかった,広がります,広がれる,-,広がらせる,広がらせられる,広がれば,広がれ,広がろう,広がるな,144
戻る,もどる,返回,五段动词,自动词,戻って,戻った,戻らない,戻らなかった,戻ります,戻れる,-,戻らせる,戻らせられる,戻れば,戻れ,戻ろう,戻るな,144
驚く,おどろく,惊讶,五段动词,自动词,驚いて,驚いた,驚かない,驚かなかった,驚きます,驚ける,驚かれる,驚かせる,驚かせられる,驚けば,驚け,驚こう,驚くな,144
洒落る,しゃれる,打扮漂亮或说俏皮话,一段动词,自动词,洒落て,洒落た,洒落ない,洒落なかった,洒落ます,洒落られる,-,洒落させる,洒落させられる,洒落れば,洒落ろ,洒落よう,洒落るな,144
実感する,じっかんする,实际感受,不规则动词,他动词,実感して,実感した,実感しない,実感しなかった,実感します,実感できる,実感される,実感させる,実感させられる,実感すれば,実感しろ,実感しよう,実感するな,144
進む,すすむ,前进，进展,五段动词,自动词,進んで,進んだ,進まない,進まなかった,進みます,進める,進まれる,進ませる,進ませられる,進めば,進め,進もう,進むな,145
磨く,みがく,磨光，擦亮,五段动词,他动词,磨いて,磨いた,磨かない,磨かなかった,磨きます,磨ける,磨かれる,磨かせる,磨かせられる,磨けば,磨け,磨こう,磨くな,145
曇る,くもる,变阴天，模糊,五段动词,自动词,曇って,曇った,曇らない,曇らなかった,曇ります,曇れる,曇られる,曇らせる,曇らせられる,曇れば,曇れ,曇ろう,曇るな,145
似る,にる,相似，像,一段动词,自动词,似て,似た,似ない,似なかった,似ます,似られる,似られる,似させる,似させられる,似れば,似ろ,似よう,似るな,145
ライトアップする,らいとあっぷする,点亮，照明,不规则动词,他动词,ライトアップして,ライトアップした,ライトアップしない,ライトアップしなかった,ライトアップします,ライトアップできる,ライトアップされる,ライトアップさせる,ライトアップさせられる,ライトアップすれば,ライトアップしろ,ライトアップしよう,ライトアップするな,145
普及する,ふきゅうする,普及,不规则动词,自动词,普及して,普及した,普及しない,普及しなかった,普及します,普及できる,普及される,普及させる,普及させられる,普及すれば,普及しろ,普及しよう,普及するな,145
雨宿りする,あまやどりする,避雨,不规则动词,自动词,雨宿りして,雨宿りした,雨宿りしない,雨宿りしなかった,雨宿りします,雨宿りできる,雨宿りされる,雨宿りさせる,雨宿りさせられる,雨宿りすれば,雨宿りしろ,雨宿りしよう,雨宿りするな,145
済む,すむ,结束，完成,五段动词,自动词,済んで,済んだ,済まない,済まなかった,済みます,済める,済まれる,済ませる,済ませられる,済めば,済め,済もう,済むな,146
積もる,つもる,堆积，积累,五段动词,自动词,積もって,積もった,積もらない,積もらなかった,積もります,積もれる,積もられる,積もらせる,積もらせられる,積もれば,積もれ,積もろう,積もるな,146
過ごす,すごす,度过，过(时间),五段动词,他动词,過ごして,過ごした,過ごさない,過ごさなかった,過ごします,過ごせる,過ごされる,過ごさせる,過ごさせられる,過ごせば,過ごせ,過ごそう,過ごすな,146
微笑む,ほほえむ,微笑,五段动词,自动词,微笑んで,微笑んだ,微笑まない,微笑まなかった,微笑みます,微笑める,微笑まれる,微笑ませる,微笑ませられる,微笑めば,微笑め,微笑もう,微笑むな,146
延ばす,のばす,延长,五段动词,他动词,延ばして,延ばした,延ばさない,延ばさなかった,延ばします,延ばせる,延ばされる,延ばさせる,延ばさせられる,延ばせば,延ばせ,延ばそう,延ばすな,146
済ませる,すませる,完成,一段动词,他动词,済ませて,済ませた,済ませない,済ませなかった,済ませます,済ませられる,済ませられる,済ませさせる,済ませさせられる,済ませれば,済ませろ,済ませよう,済ませるな,146
枯れる,かれる,枯萎,一段动词,自动词,枯れて,枯れた,枯れない,枯れなかった,枯れます,-,-,-,-,枯れれば,枯れろ,枯れよう,枯れるな,146
発送する,はっそうする,发送,不规则动词,他动词,発送して,発送した,発送しない,発送しなかった,発送します,発送できる,発送される,発送させる,発送させられる,発送すれば,発送しろ,発送しよう,発送するな,146
緊張する,きんちょうする,紧张,不规则动词,自动词,緊張して,緊張した,緊張しない,緊張しなかった,緊張します,緊張できる,-,緊張させる,緊張させられる,緊張すれば,-,緊張しよう,緊張するな,146
召し上がる,めしあがる,吃、喝(敬语),五段动词,他动词,召し上がって,召し上がった,召し上がらない,召し上がらなかった,召し上がります,召し上がれる,-,-,-,召し上がれば,-,召し上がろう,召し上がるな,147
ご覧になる,ごらんになる,看(敬语),五段动词,他动词,ご覧になって,ご覧になった,ご覧にならない,ご覧にならなかった,ご覧になります,ご覧になれる,-,-,-,ご覧になれば,-,ご覧になろう,ご覧になるな,147
仰る,おっしゃる,说(敬语),五段动词,他动词,仰って,仰った,仰らない,仰らなかった,仰います,仰れる,-,-,-,仰れば,-,仰ろう,仰るな,147
いらっしゃる,いらっしゃる,在、来、去(敬语),五段动词,自动词,いらっしゃって,いらっしゃった,いらっしゃらない,いらっしゃらなかった,いらっしゃいます,いらっしゃれる,-,-,-,いらっしゃれば,-,いらっしゃろう,いらっしゃるな,147
お出でになる,おいでになる,来る、行く、いる的尊他语,五段动词,自动词,お出でになって,お出でになった,お出でにならない,お出でにならなかった,お出でになります,-,-,-,-,お出でになれば,-,お出でになろう,お出でになるな,147
